Test Cycle	A	B	C
1	100	100	80.2
2	64.6	100	48.1
3	80.8	35.8	100
4	100	100	56.4
5	35.8	100	35
6	100	100	100
7	100	66.1	66.4
8	100	99.7	19.7
9	100	62	64.5
10	67.1	100	36.1
11	53.8	22.5	68.6
12	65.8	93.1	100
13	100	77.1	100
14	100	87.7	100
15	100	100	92
16	34.6	61.1	90
17	100	87.1	48.3
18	100	41	29.8
19	100	98.5	100
20	78.5	85.6	100
