Test Cycle	Inclusive Existential	Extrap Existential	Explicit Acc	Extrap Acc	Inclusive Uniform Acc	Inclusive Proportional Acc	Proposed Rules	Env Rules	Env Satisfied	Proposed Matched
1	88.229	43.2	23.8	38.6	88.028	79	14	20	6 / 20	7 / 14
2	100	82	77.7	79.9	97.4	96.7	5	5	2 / 5	3 / 5
3	91.046	53.5	23.2	53.5	91.046	84.3	14	12	4 / 12	4 / 14
4	99.498	28.8	17	27.9	98.594	98.8	12	12	5 / 12	8 / 12
5	100	97.1	85.8	97.1	100	100	2	2	2 / 2	2 / 2
6	85.859	62.8	28.4	55.3	82.323	74.7	11	16	11 / 16	9 / 11
7	100	0.5	0	0.5	100	100	2	2	0 / 2	0 / 2
8	100	100	90.5	100	100	100	2	2	2 / 2	2 / 2
9	88.253	62.7	36.2	62.7	88.253	86.7	6	9	5 / 9	4 / 6
10	89	41.2	19.8	41	89	88	8	12	4 / 12	4 / 8
11	100	1.2	0	1.2	100	100	3	2	0 / 2	0 / 3
12	95.859	67	44.7	67	95.859	87.2	15	8	3 / 8	8 / 15
13	100	99.4	97.3	99.4	97.5	99.3	5	2	2 / 2	4 / 5
14	100	100	100	100	100	100	6	2	1 / 2	1 / 6
15	100	95.2	67.6	94.8	99.4	98.7	8	6	6 / 6	8 / 8
16	100	86.6	86.6	86.6	100	100	1	2	1 / 2	1 / 1
17	94.732	55.8	36.2	55.8	94.732	90.3	21	16	8 / 16	7 / 21
18	100	99.9	77.8	99.9	100	100	7	2	2 / 2	7 / 7
19	100	45.4	45.4	45.4	100	100	3	3	1 / 3	1 / 3
20	98.687	43.3	29.8	43.3	98.687	98.6	11	12	5 / 12	5 / 11
