Test Cycle	D	E	F
1	100	100	79
2	89.6	90.5	96.7
3	100	100	84.3
4	97.1	100	98.8
5	100	98.6	100
6	99.8	100	74.7
7	99.6	99.1	100
8	100	100	100
9	100	93.5	86.7
10	100	69.2	88
11	100	100	100
12	68.2	100	87.2
13	100	100	99.3
14	100	100	100
15	97.7	100	98.7
16	100	96.6	100
17	100	87.6	90.3
18	100	100	100
19	93.3	95.5	100
20	98.9	98.7	98.6
