Test Cycle	A	B	C
1	100	92.121	99.088
2	99.8	96.069	94.3
3	100	100	100
4	99.899	100	100
5	100	94.3	97.278
6	100	97.071	95.344
7	100	100	100
8	100	88.1	100
9	100	100	100
10	100	100	100
11	100	90.543	97.183
12	98.4	91.046	96.486
13	100	93	100
14	100	91.449	100
15	90.261	99.797	88.923
16	98.5	94.795	100
17	100	88.6	87.349
18	100	99.299	92.6
19	99.8	97.065	93.131
20	87.6	97.8	100
