Test Cycle	D	E	F
1	97.384	100	100
2	100	100	100
3	100	98.2	100
4	90.8	96.573	99
5	100	99	89.8
6	100	91.952	97.485
7	99.799	100	100
8	100	100	97.5
9	99.6	99.6	100
10	100	100	100
11	88.4	100	94.838
12	100	100	99.495
13	87.8	100	100
14	89.3	100	100
15	100	100	100
16	100	91.968	100
17	99.7	92.455	88.3
18	100	100	100
19	100	100	86.847
20	100	93.474	100
