Test Cycle	D	E	F
1	98.5	100	23.8
2	90.1	48.8	77.7
3	83.8	93.5	23.2
4	5.1	0	17
5	0	61.4	85.8
6	68.5	0	28.4
7	83.1	55.7	0
8	99.2	92	90.5
9	89.5	53.2	36.2
10	92.5	20.7	19.8
11	80.5	69.3	0
12	55.2	98.6	44.7
13	20.3	37.2	97.3
14	97	56	100
15	95.6	98.7	67.6
16	0	97.7	86.6
17	0	55.9	36.2
18	1.1	94.8	77.8
19	39.4	79.2	45.4
20	19.8	53.5	29.8
