Test Cycle	A	B	C
1	99.5	100	47.1
2	90.5	100	91.3
3	98.5	99.9	100
4	99.9	89.9	97.5
5	83	100	94.6
6	100	95.8	100
7	96.1	66.1	89.9
8	98.4	92.6	65.1
9	100	59.3	62.4
10	68.5	99.6	98.6
11	39.4	37.6	93.5
12	100	69.8	100
13	61.9	53.9	99.5
14	96.4	86.9	100
15	95.8	99.8	100
16	48.1	95.3	87
17	100	91.3	50.1
18	100	83.2	26.4
19	98.9	72.4	100
20	96.4	37.3	98.6
