Test Cycle	A	B	C
1	91.9	96.1	29.8
2	59.8	99.8	65.1
3	69	75.2	98.5
4	98.5	40.9	60.6
5	45.8	99.4	52.3
6	100	43.6	100
7	96.1	48.4	83.9
8	91.3	78.6	30.9
9	91.9	54.1	62.3
10	61.6	98.4	74.3
11	27.5	22.7	76.1
12	88.8	17.6	97
13	38.5	47.1	97.7
14	38.3	75.8	92.9
15	95.8	98.6	90.8
16	48.1	46.2	70
17	57.6	80	64.4
18	93.5	82.5	26.4
19	93.3	49.5	94.1
20	85.6	27.1	65.1
