Test Cycle	Inclusive Existential	Extrap Existential	Explicit Acc	Extrap Acc	Inclusive Uniform Acc	Inclusive Proportional Acc	Proposed Rules	Env Rules	Env Satisfied	Proposed Matched
1	92.121	89.8	31.8	86.6	92.121	91.6	15	6	5/6	11/15
2	96.069	91.7	86.3	91.7	96.069	93.5	16	8	6/8	6/16
3	100	100	95.8	100	100	100	6	4	3/4	5/6
4	100	100	95.1	100	100	100	7	4	3/4	6/7
5	94.3	63.9	21.7	63.9	94.3	91.9	8	4	2/4	2/8
6	97.071	94.4	89.5	94.4	97.071	93.2	11	6	2/6	2/11
7	100	97.8	86.6	97.8	100	100	4	2	1/2	2/4
8	88.1	50.6	44	49.3	88.1	82.2	5	8	3/8	3/5
9	100	99	94.8	99	100	100	4	4	3/4	3/4
10	100	97.9	92.8	97.9	100	100	2	2	1/2	1/2
11	90.543	68.7	38.5	51.7	90.543	89.8	7	9	2/9	2/7
12	91.046	94.2	66.4	78	81.992	77.3	7	6	5/6	6/7
13	93	55.2	34.9	55.2	93	87.2	8	4	2/4	2/8
14	91.449	88.6	32.4	88.6	91.449	90	7	4	4/4	7/7
15	99.797	89.6	74.8	89.6	99.797	99.6	17	8	5/8	6/17
16	94.795	91.3	48.5	91.3	94.795	94.2	9	5	2/5	7/9
17	88.6	99.4	78.5	99.4	88.6	88.3	2	2	2/2	2/2
18	99.299	100	32.2	22.8	30.23	31.5	3	2	2/2	2/3
19	97.065	98.3	62.6	98.3	97.065	96.9	13	6	5/6	11/13
20	97.8	94.3	86.1	74.5	97.1	96.3	8	8	6/8	6/8
