Test Cycle	Inclusive Existential	Extrap Existential	Explicit Acc	Extrap Acc	Inclusive Uniform Acc	Inclusive Proportional Acc	Proposed Rules	Env Rules	Env Satisfied	Proposed Matched
1	99.088	82.2	71.2	80.9	98.784	96.7	21	16	8 / 16	10 / 21
2	94.3	83.3	44.2	83.3	93.3	88	10	9	4 / 9	4 / 10
3	100	81.1	48.3	81.1	100	100	9	8	5 / 8	5 / 9
4	100	100	100	100	100	100	4	3	3 / 3	3 / 4
5	97.278	81.7	16.8	81.7	97.278	97.6	16	12	8 / 12	13 / 16
6	95.344	70.2	41.1	68.5	94.737	91.4	13	12	7 / 12	7 / 13
7	100	100	98.3	100	100	100	4	2	2 / 2	4 / 4
8	100	100	88.1	100	100	100	15	2	2 / 2	3 / 15
9	100	90.8	40.3	90.8	100	100	8	2	0 / 2	0 / 8
10	100	97.9	97.6	97.9	100	100	4	2	1 / 2	2 / 4
11	97.183	88.6	78	57.8	84.205	71.8	7	4	4 / 4	3 / 7
12	96.486	82.4	57.7	82.4	96.486	92.6	12	8	4 / 8	4 / 12
13	100	100	100	99.3	90.663	92.1	6	2	2 / 2	2 / 6
14	100	57	39.5	57	100	100	2	2	2 / 2	2 / 2
15	88.923	55	15.3	52.2	88.008	82.8	24	20	9 / 20	13 / 24
16	100	98.1	93.8	98.1	100	100	7	4	2 / 4	2 / 7
17	87.349	81.7	64.4	46.7	81.024	69.7	12	18	10 / 18	9 / 12
18	92.6	98.2	74	96.8	91.3	90.4	5	4	3 / 4	4 / 5
19	93.131	74.5	15.1	67.5	91.111	89.2	15	12	8 / 12	11 / 15
20	100	89.2	35.8	89.2	100	100	8	2	0 / 2	0 / 8
