Test Cycle	Inclusive Existential	Extrap Existential	Explicit Acc	Extrap Acc	Inclusive Uniform Acc	Inclusive Proportional Acc	Proposed Rules	Env Rules	Env Satisfied	Proposed Matched
1	100	100	98.5	100	100	100	4	2	1 / 2	3 / 4
2	94.679	90.6	90.1	90.6	94.679	89.6	12	4	3 / 4	2 / 12
3	100	97.1	83.8	97.1	100	100	2	2	1 / 2	1 / 2
4	98.7	39.5	5.1	39.5	98.7	97.1	10	4	2 / 4	2 / 10
5	100	0	0	0	100	100	5	3	0 / 3	0 / 5
6	99.8	72.5	68.5	72.5	99.8	99.8	9	4	1 / 4	1 / 9
7	99.899	89.8	83.1	89.8	99.899	99.6	7	4	2 / 4	2 / 7
8	100	100	99.2	100	100	100	3	2	1 / 2	1 / 3
9	100	93.4	89.5	93.4	100	100	2	4	3 / 4	2 / 2
10	100	100	92.5	100	100	100	4	4	3 / 4	2 / 4
11	100	80.5	80.5	80.5	100	100	9	2	1 / 2	3 / 9
12	81.1	82	55.2	69.7	75.1	68.2	5	5	5 / 5	5 / 5
13	100	20.5	20.3	20.5	100	100	1	4	0 / 4	0 / 1
14	100	98.6	97	98.6	100	100	2	2	1 / 2	1 / 2
15	98.6	100	95.6	100	98.6	97.7	2	2	2 / 2	2 / 2
16	100	1.6	0	1.6	100	100	4	4	2 / 4	2 / 4
17	100	1.1	0	1.1	100	100	2	2	1 / 2	1 / 2
18	100	16.2	1.1	16.2	100	100	1	2	1 / 2	1 / 1
19	95.354	63.9	39.4	63.8	95.354	93.3	11	3	1 / 3	1 / 11
20	98.6	20.1	19.8	20.1	98.6	98.9	2	4	1 / 4	1 / 2
