Test Cycle	A	B	C
1	100	89.8	82.2
2	100	91.7	83.3
3	97	100	81.1
4	96.3	100	100
5	99.4	63.9	81.7
6	84.4	94.4	70.2
7	100	97.8	100
8	99.3	50.6	100
9	96.5	99	90.8
10	97	97.9	97.9
11	100	68.7	88.6
12	99	94.2	82.4
13	100	55.2	100
14	100	88.6	57
15	88.3	89.6	55
16	99	91.3	98.1
17	99.1	99.4	81.7
18	96.2	100	98.2
19	98.3	98.3	74.5
20	98.1	94.3	89.2
