Test Cycle	D	E	F
1	100	100	43.2
2	90.6	62.2	82
3	97.1	100	53.5
4	39.5	0.2	28.8
5	0	85.4	97.1
6	72.5	0.4	62.8
7	89.8	56.1	0.5
8	100	100	100
9	93.4	54.9	62.7
10	100	21.5	41.2
11	80.5	71.8	1.2
12	82	100	67
13	20.5	38.5	99.4
14	98.6	89.4	100
15	100	100	95.2
16	1.6	100	86.6
17	1.1	89.1	55.8
18	16.2	98	99.9
19	63.9	88.1	45.4
20	20.1	92	43.3
