Test Cycle	D	E	F
1	100	100	88.028
2	94.679	93.1	97.4
3	100	100	91.046
4	98.7	100	98.594
5	100	98.1	100
6	99.8	100	82.323
7	99.899	99.3	100
8	100	100	100
9	100	96.053	88.253
10	100	66.3	89
11	100	100	100
12	75.1	100	95.859
13	100	100	97.5
14	100	100	100
15	98.6	100	99.4
16	100	98.394	100
17	100	90.991	94.732
18	100	100	100
19	95.354	97.2	100
20	98.6	99	98.687
